id,rank,workers,company,url,state_l,state_s,city,growth,revenue,ifmid,ifiid,metro,industry,yrs_on_list
42940,1,218,Loot Crate,loot-crate,California,CA,Los Angeles,66788.5962,116247698,2,4,Los Angeles,Consumer Products & Services,1
42941,2,100,Paint Nite,paint-nite,Massachusetts,MA,Somerville,36555.2472,55018793,6,4,Boston,Consumer Products & Services,1
42944,7,130,Bounce Exchange,bounce-exchange,New York,NY,New York,14574.6474,15733570,9,9,New York City,Software,1
42950,13,250,Suja Juice,suja-juice,California,CA,San Diego,10511.0846,65877327,11,11,San Diego,Food & Beverage,1
42951,14,105,S2 Capital,s2-capital,Texas,TX,Addison,9645.7324,28804779,8,3,Dallas,Real Estate,1
42952,16,171,Persado,persado,New York,NY,New York,9389.7747,17432811,9,9,New York City,Software,1
42954,18,185,Exusia,exusia,New York,NY,New York,8803.2659,14917600,9,8,New York City,IT Services,1
37267,25,200,Midwest Equity Mortgage,midwest-equity-mortgage,Illinois,IL,Oakbrook,7754.3956,971148423,17,2,Chicago,Financial Services,2
44578,26,235,Cylance,cylance,California,CA,Irvine,7613.0469,11100000,2,13,Los Angeles,Security,1
42963,29,140,Legend Solar,legend-solar,Utah,UT,Washington,7101.8827,13005808,308,16,"St. George, UT",Energy,1
42965,31,105,Nine Line Apparel,nine-line-apparel,Georgia,GA,Savannah,6961.9116,9392978,86,18,"Savannah, GA",Retail,1
36634,42,302,Castle Medical,castle-medical,Georgia,GA,Smyrna,5882.1595,49053588,29,10,Atlanta,Health,2
42975,43,101,Zurixx,zurixx,Utah,UT,Cottonwood Heights,5626.0982,130066373,12,19,Salt Lake City,Education,1
42980,49,138,Interactive Government Holdings,interactive-government-holdings,Virginia,VA,Springfield,5057.8884,7190767,3,7,"Washington, DC",Government Services,1
42981,50,100,Impact CNC,impact-cnc,Indiana,IN,Columbia City,4929.7579,19504848,162,15,"Fort Wayne, IN",Manufacturing,1
42983,53,419,Elevate Services,elevate-services,California,CA,Los Angeles,4895.1914,21566739,2,17,Los Angeles,Business Products & Services,1
42992,65,180,Dollar Shave Club,dollar-shave-club,California,CA,Marina del Rey,4191.3212,152436398,2,4,Los Angeles,Consumer Products & Services,1
22176,66,111,Stratus Video,stratus-video,Florida,FL,Clearwater,4190.13,11599482,7,14,Tampa,Telecommunications,4
42994,68,100,AppLovin,applovin,California,CA,Palo Alto,4132.4686,234189513,20,5,San Jose,Advertising & Marketing,1
42999,74,149,Greenspire,greenspire,California,CA,Los Angeles,3884.9434,6963330,2,16,Los Angeles,Energy,1
43008,83,185,Youth Digital,youth-digital,North Carolina,NC,Chapel Hill,3621.7415,5269316,56,19,"Durham-Chapel Hill, NC",Education,1
43011,86,1368,Nutanix,nutanix,California,CA,San Jose,3565.8366,241432000,20,9,San Jose,Software,1
25603,88,220,Futurewave Systems,futurewave-systems,Georgia,GA,Atlanta,3498.6614,14786000,29,21,Atlanta,Human Resources,3
36731,95,200,OutboundEngine,outboundengine,Texas,TX,Austin,3377.4739,9738318,18,9,Austin,Software,2
43024,102,100,HomeWorks Energy,homeworks-energy,Massachusetts,MA,Woburn,3168.4664,10160224,6,16,Boston,Energy,1
43026,104,100,ipsy,ipsy,California,CA,San Mateo,3136.0743,169293026,4,4,San Francisco,Consumer Products & Services,1
43037,120,107,Approyo,approyo,Wisconsin,WI,Muskego,2795.4235,3131082,27,8,"Milwaukee-Waukesha-West Allis, WI",IT Services,1
43039,122,101,Aleph Objects,aleph-objects,Colorado,CO,Loveland,2782.2824,15094686,1009,25,"Fort Collins, CO",Computer Hardware,1
26235,133,500,Hermitage Inn Real Estate Holding Company,hermitage-inn-real-estate-holding-company,Vermont,VT,Wilmington,2623.2605,41778901,998,22,,Travel & Hospitality,3
43060,144,303,CrowdStrike,crowdstrike,California,CA,Irvine,2428.7338,27327976,2,13,Los Angeles,Security,1
36740,146,220,Lancera,lancera,Utah,UT,Orem,2423.8572,5328872,48,9,"Provo-Orem, UT",Software,2
43062,147,136,Touch of Modern,touch-of-modern,California,CA,San Francisco,2423.6898,81253170,4,4,San Francisco,Consumer Products & Services,1
36796,148,154,Leadpages,leadpages,Minnesota,MN,Minneapolis,2391.9933,16200000,13,8,Minneapolis,IT Services,2
25323,154,225,CPSG Partners,cpsg-partners,Texas,TX,Dallas,2346.184,43409370,8,8,Dallas,IT Services,3
26135,163,263,Bai Brands,bai-brands,New Jersey,NJ,Hamilton,2210.3124,119909073,1012,11,"Trenton, NJ",Food & Beverage,3
43073,165,150,PCB Apps,pcb-apps,New Jersey,NJ,Somerset,2187.0035,14710052,9,8,New York City,IT Services,1
36902,166,331,Blueprint Consulting Services,blueprint-consulting-services,Washington,WA,Bellevue,2162.1959,22306835,23,17,Seattle,Business Products & Services,2
43077,170,148,Florida Premier Realty of the Palm Beaches,florida-premier-realty-of-the-palm-beaches,Florida,FL,Lake Worth,2100.9223,2639280,1,3,Miami,Real Estate,1
43079,173,140,Developing Awareness,developing-awareness,Hawaii,HI,Hilo,2092.926,4539927,953,5,"Hilo, HI",Advertising & Marketing,1
36744,177,184,Alliance Family of Companies,alliance-family-of-companies,Texas,TX,Irving,2072.7277,28076857,8,10,Dallas,Health,2
43083,179,122,LILEE Systems,lilee-systems,California,CA,San Jose,2071.1576,15473558,20,14,San Jose,Telecommunications,1
43084,180,1000,A.M. Staffing Group,am-staffing-group,Illinois,IL,Elgin,2055.1395,2554530,17,21,Chicago,Human Resources,1
36659,183,274,Kabbage,kabbage,Georgia,GA,Atlanta,2026.5721,97461712,29,2,Atlanta,Financial Services,2
36827,190,478,My Home Group Real Estate,my-home-group-real-estate,Arizona,AZ,Tempe,1953.0983,10573456,46,3,Phoenix,Real Estate,2
